pop species lon lat bio1 bio2 bio3 bio4 bio5 bio6 bio7 bio8 bio9 bio10 bio11 bio12 bio13 bio14 bio15 bio16 bio17 bio18 bio19
MaoKS-CX-2014-204 mixed 98.74905 29.71997 8.5 13 44.5 608.900024414062 22.2999992370605 -6.90000009536743 29.2000007629395 16.1000003814697 0 15.5 0.800000011920929 949 225 4 94 563 20 563 20
MaoKS-CX-2014-222 mixed 100.2448611 28.64525 8.30000019073486 13.5 48 575.799987792969 20.8999996185303 -7.19999980926514 28.1000003814697 15.8000001907349 1.20000004768372 15.1999998092651 1.20000004768372 1060 264 4 93.4000015258789 611 21 611 21
MaoKS-CX-2014-234 mixed 99.75702 28.98162 10.5 13.1000003814697 46.5999984741211 589.5 23.5 -4.69999980926514 28.2000007629395 18 3.20000004768372 17.3999996185303 3.09999990463257 980 244 4 92.8000030517578 568 21 568 22
MaoKS-CX-2014-253 rot 99.0575 27.65932 14.8000001907349 11.3999996185303 45.5999984741211 547.099975585938 26 1.10000002384186 24.8999996185303 21.7999992370605 8.5 21.2000007629395 8.10000038146973 1606 319 13 73.4000015258789 797 60 797 95
MaoKS-CX-2014-32 mixed 102.0293 31.99135 13 14.8000001907349 46.2000007629395 628.200012207031 28.7000007629395 -3.29999995231628 32 21.2000007629395 4.40000009536743 20.3999996185303 5 985 189 4 88 505 16 505 16
MaoKS-CX-2014-44 mixed 102.1624694 31.21655556 13.3000001907349 13.3999996185303 44 638.700012207031 28.2000007629395 -2.29999995231628 30.5 19.2999992370605 4.59999990463257 20.7999992370605 5.09999990463257 934 197 2 90.4000015258789 500 12 479 12
MaoKS-CX-2014-67 mixed 102.7278889 30.7982 12.1000003814697 12.8000001907349 43.0999984741211 624.099975585938 26.6000003814697 -3.20000004768372 29.7999992370605 18 3.59999990463257 19.6000003814697 4.30000019073486 1063 219 6 87.3000030517578 565 23 539 23
MaoKS-CX-2014-99 mixed 101.5003806 29.71361944 10.1000003814697 14.5 47.2999992370605 622.799987792969 24 -6.59999990463257 30.6000003814697 18.2999992370605 1.79999995231628 17.3999996185303 2.20000004768372 1087 255 1 100.599998474121 631 8 631 8
pda2 mixed 102.91 34.176 7 12.6999998092651 38.9000015258789 720.799987792969 23.2000007629395 -9.5 32.7000007629395 16.5 -3 15.6000003814697 -2.09999990463257 954 199 3 89.0999984741211 507 14 506 14
pda4 mixed 107.324 34.276 16.1000003814697 9.60000038146973 27.8999996185303 925.5 33.9000015258789 -0.400000005960464 34.2999992370605 28.3999996185303 3 27.6000003814697 4.80000019073486 1025 219 6 81.9000015258789 552 24 483 24
pro13 rot 103.293 25.368 18.3999996185303 12 47.7999992370605 498 28.6000003814697 3.5 25.1000003814697 24.3999996185303 11.5 24 11.8000001907349 1483 299 14 88.5 820 49 820 49
pro14 mixed 99.578 29.138 11.1999998092651 12.8000001907349 45.4000015258789 599.200012207031 24.6000003814697 -3.70000004768372 28.2999992370605 18.7999992370605 4 18.2000007629395 3.59999990463257 958 238 4 93.1999969482422 559 21 559 21
pro9 mixed 98.557 31.767 10.3999996185303 15.1000003814697 45.5999984741211 631.5 26.5 -6.59999990463257 33.0999984741211 18.7000007629395 2.29999995231628 17.6000003814697 2.09999990463257 815 182 5 99.1999969482422 497 18 497 18
SS Ne 124.4666667 44.13333333 11.8000001907349 10.6999998092651 22.2999992370605 1346.80004882812 34.4000015258789 -13.6999998092651 48.0999984741211 29.3999996185303 -9.10000038146973 28.1000003814697 -5.09999990463257 860 283 2 130.699996948242 638 10 638 10
SYS Ne 131.25 47.06666667 9.89999961853027 10.6000003814697 21.2999992370605 1412.59997558594 33 -16.6000003814697 49.5999984741211 27.8999996185303 -12.3000001907349 26.7999992370605 -8.30000019073486 838 207 5 102.400001525879 533 20 533 20
xls mixed 103.8333333 35.63333333 11.6999998092651 12.6000003814697 32.7000007629395 966.200012207031 30.6000003814697 -7.90000009536743 38.5 23.8999996185303 -2.5 23.2000007629395 -0.699999988079071 604 116 1 87.1999969482422 327 6 310 6
ZLP20-02 rot 102.2791472 28.80625556 15.1999998092651 12.1999998092651 43.7000007629395 585.200012207031 28.1000003814697 0.100000001490116 28 23.1000003814697 7.19999980926514 22.2000007629395 7.59999990463257 1442 349 5 98.5 840 21 840 21
ZLP20-03 rot 101.2531028 25.84286111 19.2999992370605 12.6000003814697 49 480.600006103516 29.3999996185303 3.70000004768372 25.7000007629395 25.1000003814697 12.3999996185303 24.7000007629395 13 1367 290 11 88.6999969482422 774 41 774 41
ZLP20-04 rot 100.2423333 25.55144722 18.7999992370605 11.6000003814697 48.2999992370605 463.299987792969 28.5 4.40000009536743 24.1000003814697 24.2000007629395 11.8999996185303 23.8999996185303 12.6000003814697 1520 289 12 78.0999984741211 804 64 804 64
ZLP20-07 rot 99.34420833 27.13961111 16 12 46.5999984741211 542.799987792969 27.1000003814697 1.39999997615814 25.7000007629395 22.8999996185303 9.39999961853027 22.3999996185303 9.19999980926514 1588 301 14 69.5999984741211 744 67 744 109
ZLP20-08 rot 95.96082778 29.76238889 8.5 11.1000003814697 42.2000007629395 570.900024414062 21.8999996185303 -4.5 26.3999996185303 16 2.29999995231628 15.1999998092651 1.39999997615814 1106 230 8 88.5999984741211 629 31 629 33
ZLP20-09 mixed 98.88611111 28.466775 9.69999980926514 11.6000003814697 46 543.700012207031 21.8999996185303 -3.40000009536743 25.2999992370605 16.7999992370605 3.59999990463257 16.2000007629395 3.09999990463257 1063 227 9 76.8000030517578 538 42 538 46
ZLP20-10 mixed 97.17984167 29.31905278 7.09999990463257 12.3000001907349 44.2999992370605 600.799987792969 20.5 -7.30000019073486 27.7999992370605 14.8000001907349 0.699999988079071 14.1000003814697 -0.300000011920929 1165 252 9 86.0999984741211 658 39 658 43
ZLP20-15 rot 93.93111111 29.17615 13.3000001907349 12.8999996185303 46.5 564.799987792969 26.7999992370605 -1 27.7999992370605 20.6000003814697 5.40000009536743 19.8999996185303 6.09999990463257 906 190 3 94.1999969482422 513 13 513 13
